scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,28.268588,0.652826,3.033311,1.921305,0.038599,0.294656,0.836719
lat-13.5_lon131.0_20230902_T52LGL_t068,26.657365,0.579979,2.588495,1.570289,0.046466,0.312715,0.769466
lat-13.5_lon131.0_20230902_T52LGL_t106,27.643335,0.612660,2.396996,1.688231,0.041479,0.249842,0.766078
lat-13.5_lon131.0_20230902_T52LGL_t175,27.842575,0.595295,2.425083,1.479939,0.040539,0.269997,0.795050
lat-13.5_lon131.0_20230902_T52LGL_t188,27.530655,0.567116,2.471462,1.552002,0.042021,0.243937,0.731590
lat-13.5_lon131.0_20230902_T52LGL_t202,27.767111,0.560776,2.344321,1.626039,0.040893,0.219598,0.707633
lat-15.0_lon26.0_20240502_T35LLD_t046,30.933747,0.734649,1.639436,1.214359,0.028400,0.260159,0.728894
lat-15.0_lon26.0_20240502_T35LLD_t094,32.402201,0.773499,1.372382,1.026852,0.023982,0.317240,0.840276
lat-15.0_lon26.0_20240502_T35LLD_t128,29.987136,0.702982,1.989810,1.574767,0.031670,0.269653,0.757061
lat-15.0_lon26.0_20240502_T35LLD_t154,31.877998,0.769557,1.396361,1.216544,0.025474,0.316444,0.790583
lat-15.0_lon26.0_20240502_T35LLD_t166,31.670212,0.720627,1.548371,1.244529,0.026091,0.284146,0.738372
lat-15.0_lon26.0_20240502_T35LLD_t177,31.970806,0.774593,1.572485,1.260430,0.025203,0.335129,0.805200
lat-15.0_lon26.0_20240502_T35LLD_t192,30.291465,0.777074,1.790300,1.589607,0.030579,0.332278,0.796540
lat-21.0_lon14.5_20250124_T33KVS_t060,24.584692,0.490277,2.186503,2.488089,0.058988,0.170388,0.596963
lat-21.0_lon14.5_20250124_T33KVS_t103,26.417952,0.616120,1.810239,1.808449,0.047764,0.378841,0.914761
lat-21.0_lon14.5_20250124_T33KVS_t110,32.676519,0.744501,1.556137,1.369312,0.023237,0.291091,0.768768
lat-21.0_lon14.5_20250124_T33KVS_t121,29.924976,0.685627,1.398726,1.498718,0.031897,0.314137,0.847047
lat-21.0_lon14.5_20250124_T33KVS_t137,26.654241,0.651943,0.894431,1.654819,0.046482,0.432848,0.845928
lat-22.5_lon-68.5_20251030_T19KER_t066,27.865310,0.834868,1.031032,1.667441,0.040433,0.452539,0.840614
lat-22.5_lon-68.5_20251030_T19KER_t077,28.605233,0.665065,1.251378,1.248384,0.037131,0.339357,0.885558
lat-22.5_lon-68.5_20251030_T19KER_t090,30.453369,0.776119,1.039102,1.290805,0.030015,0.333180,0.823848
lat-22.5_lon-68.5_20251030_T19KER_t163,27.064456,0.671208,0.687349,1.348036,0.044338,0.396481,0.935774
lat-23.0_lon119.5_20240128_T50KQV_t086,31.834587,0.782799,1.139673,0.836535,0.025602,0.336611,0.846518
lat-23.0_lon23.5_20240902_T34KGV_t060,33.300906,0.801270,0.511197,0.607452,0.021625,0.341516,0.863104
lat-23.0_lon23.5_20240902_T34KGV_t178,31.627898,0.767848,0.711790,0.751298,0.026218,0.411172,0.878940
lat-23.0_lon23.5_20240902_T34KGV_t259,33.046926,0.794756,0.622014,0.662719,0.022267,0.415575,0.945013
lat-23.0_lon23.5_20240902_T34KGV_t262,31.221405,0.733974,0.990878,0.941577,0.027474,0.337849,0.799634
