scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,34.680605,0.924338,1.496304,1.021073,0.018449,0.861265,0.956174
lat-13.5_lon131.0_20230902_T52LGL_t068,35.872934,0.952734,1.051200,0.616073,0.016082,0.923055,0.967486
lat-13.5_lon131.0_20230902_T52LGL_t106,31.690735,0.931463,1.182993,1.013316,0.026029,0.891938,0.913190
lat-13.5_lon131.0_20230902_T52LGL_t175,34.544211,0.924299,1.103622,0.746159,0.018741,0.872398,0.951784
lat-13.5_lon131.0_20230902_T52LGL_t188,32.202360,0.912712,1.055259,0.910008,0.024540,0.864236,0.908266
lat-13.5_lon131.0_20230902_T52LGL_t202,30.765314,0.874586,1.077422,1.144922,0.028956,0.802602,0.854887
lat-15.0_lon26.0_20240502_T35LLD_t046,37.631745,0.943754,0.822414,0.579854,0.013134,0.861093,0.933867
lat-15.0_lon26.0_20240502_T35LLD_t094,38.911134,0.951106,0.729471,0.501649,0.011336,0.868495,0.955757
lat-15.0_lon26.0_20240502_T35LLD_t128,35.295740,0.914731,0.980678,0.755419,0.017188,0.810244,0.903364
lat-15.0_lon26.0_20240502_T35LLD_t154,35.355065,0.915749,0.928046,0.722712,0.017071,0.786167,0.888811
lat-15.0_lon26.0_20240502_T35LLD_t166,35.880491,0.919545,0.876101,0.700876,0.016069,0.830525,0.902110
lat-15.0_lon26.0_20240502_T35LLD_t177,37.588712,0.937798,0.883449,0.600898,0.013200,0.834742,0.938567
lat-15.0_lon26.0_20240502_T35LLD_t192,35.225841,0.914861,1.081310,0.868838,0.017326,0.777447,0.924114
lat-21.0_lon14.5_20250124_T33KVS_t060,28.034711,0.819390,1.194166,1.748607,0.039652,0.729210,0.817610
lat-21.0_lon14.5_20250124_T33KVS_t103,36.758749,0.962594,0.929207,0.629060,0.014523,0.939669,0.989671
lat-21.0_lon14.5_20250124_T33KVS_t110,32.454165,0.825552,0.774767,1.427605,0.023839,0.618134,0.801641
