scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,30.341206,0.878842,3.852740,1.758439,0.030405,0.790853,0.937017
lat-13.5_lon131.0_20230902_T52LGL_t068,30.679633,0.929419,2.844620,1.222826,0.029243,0.892454,0.956268
lat-13.5_lon131.0_20230902_T52LGL_t106,29.204966,0.888548,3.342387,1.509911,0.034654,0.827874,0.905194
lat-13.5_lon131.0_20230902_T52LGL_t175,30.001183,0.904089,2.739366,1.262678,0.031618,0.849712,0.944407
lat-13.5_lon131.0_20230902_T52LGL_t188,27.909812,0.894176,3.118290,1.446400,0.040226,0.840214,0.901914
lat-13.5_lon131.0_20230902_T52LGL_t202,28.871534,0.858687,3.074837,1.529429,0.036010,0.788093,0.857584
lat-15.0_lon26.0_20240502_T35LLD_t046,29.446759,0.926853,3.829978,1.597384,0.033702,0.825998,0.913448
lat-15.0_lon26.0_20240502_T35LLD_t094,24.002102,0.817837,5.375165,2.602073,0.063080,0.667633,0.869421
lat-15.0_lon26.0_20240502_T35LLD_t128,28.606229,0.881367,4.111897,1.821580,0.037127,0.752432,0.870444
lat-15.0_lon26.0_20240502_T35LLD_t154,25.278228,0.888065,4.772429,2.291020,0.054461,0.729094,0.880173
lat-15.0_lon26.0_20240502_T35LLD_t166,26.352403,0.870086,5.313171,2.538128,0.048126,0.756256,0.871347
lat-15.0_lon26.0_20240502_T35LLD_t177,24.902783,0.802712,6.171754,3.070991,0.056867,0.634241,0.828242
lat-15.0_lon26.0_20240502_T35LLD_t192,27.326851,0.893391,5.018019,2.324735,0.043019,0.738032,0.904940
lat-21.0_lon14.5_20250124_T33KVS_t060,25.744173,0.761383,3.028260,2.214658,0.051617,0.661084,0.802449
lat-21.0_lon14.5_20250124_T33KVS_t103,28.827789,0.898456,2.506475,1.424893,0.036192,0.851793,0.976041
lat-21.0_lon14.5_20250124_T33KVS_t110,27.841415,0.813534,3.053137,2.355135,0.040544,0.607916,0.819115
lat-21.0_lon14.5_20250124_T33KVS_t121,25.940521,0.747770,2.878116,2.379805,0.050463,0.548654,0.881053
lat-21.0_lon14.5_20250124_T33KVS_t137,24.212451,0.890191,3.320653,2.240136,0.061571,0.830028,0.931380
lat-22.5_lon-68.5_20251030_T19KER_t066,32.691020,0.934459,1.784606,0.980793,0.023198,0.811264,0.956143
lat-22.5_lon-68.5_20251030_T19KER_t077,29.893659,0.890158,2.114558,1.110800,0.032012,0.806045,0.961377
lat-22.5_lon-68.5_20251030_T19KER_t090,28.516658,0.878313,1.957149,1.631457,0.037512,0.721470,0.836253
lat-22.5_lon-68.5_20251030_T19KER_t163,33.128627,0.917649,1.300977,0.683179,0.022058,0.843544,0.986534
lat-23.0_lon119.5_20240128_T50KQV_t086,31.503678,0.917696,1.612313,0.923859,0.026596,0.779045,0.900687
lat-23.0_lon23.5_20240902_T34KGV_t060,29.116384,0.941714,1.963261,1.008600,0.035009,0.848972,0.963338
lat-23.0_lon23.5_20240902_T34KGV_t178,32.679741,0.943749,1.571777,0.717923,0.023228,0.877519,0.971161
lat-23.0_lon23.5_20240902_T34KGV_t259,29.862299,0.937899,2.315126,1.008283,0.032128,0.858599,0.982035
lat-23.0_lon23.5_20240902_T34KGV_t262,32.539969,0.944223,1.762493,0.860967,0.023605,0.881330,0.960008
lat-23.5_lon-68.2_20251231_T19KEP_t043,26.328268,0.717086,1.613210,1.336410,0.048260,0.601866,0.921333
lat-24.0_lon-69.5_20251124_T19KDP_t023,31.863030,0.924177,1.122945,0.705588,0.025518,0.838909,0.959901
lat-24.0_lon-69.5_20251124_T19KDP_t029,35.445164,0.940225,0.876610,0.608081,0.016894,0.813492,0.980165
lat-24.0_lon-69.5_20251124_T19KDP_t040,28.149036,0.865661,1.486608,0.999875,0.039133,0.752416,0.893998
lat-24.0_lon-69.5_20251124_T19KDP_t123,30.009853,0.861849,1.382593,1.021849,0.031587,0.701169,0.887486
lat-24.0_lon-69.5_20251124_T19KDP_t231,28.852871,0.891409,1.537197,1.320781,0.036087,0.790668,0.943538
lat-24.0_lon-69.5_20251124_T19KDP_t247,29.592347,0.877656,1.324640,1.089485,0.033142,0.776673,0.935223
lat-24.5_lon-70.5_20240902_T19JCN_t088,33.976551,0.938904,1.547314,0.799483,0.020007,0.891985,0.965124
lat-25.0_lon149.0_20240925_T55JFN_t019,31.712730,0.946512,2.494882,1.023257,0.025964,0.887501,0.966208
lat-25.0_lon149.0_20240925_T55JFN_t028,31.560265,0.957553,2.800738,1.149890,0.026423,0.871841,0.966795
