scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,34.296953,0.917158,1.855839,1.027436,0.019282,0.858402,0.955952
lat-13.5_lon131.0_20230902_T52LGL_t068,35.014970,0.945635,1.481366,0.627878,0.017752,0.919153,0.966717
lat-13.5_lon131.0_20230902_T52LGL_t106,31.383911,0.900411,1.976643,1.080252,0.026965,0.846992,0.916768
lat-13.5_lon131.0_20230902_T52LGL_t175,34.461809,0.925963,1.373071,0.714745,0.018919,0.883029,0.956705
lat-13.5_lon131.0_20230902_T52LGL_t188,32.251336,0.909496,1.613579,0.878866,0.024402,0.865015,0.915563
lat-13.5_lon131.0_20230902_T52LGL_t202,29.974986,0.846822,2.024475,1.227425,0.031714,0.780824,0.866135
lat-15.0_lon26.0_20240502_T35LLD_t046,36.987242,0.928763,1.081724,0.619291,0.014146,0.824103,0.929122
lat-15.0_lon26.0_20240502_T35LLD_t094,36.656334,0.902580,1.290254,0.964251,0.014695,0.758397,0.911279
lat-15.0_lon26.0_20240502_T35LLD_t128,35.434978,0.907195,1.124228,0.790349,0.016914,0.799389,0.908640
lat-15.0_lon26.0_20240502_T35LLD_t154,34.219638,0.876943,1.233563,0.817915,0.019454,0.724952,0.880916
lat-15.0_lon26.0_20240502_T35LLD_t166,31.657115,0.825193,1.885902,0.898651,0.026130,0.712984,0.843137
lat-15.0_lon26.0_20240502_T35LLD_t177,37.875170,0.933775,0.936903,0.648252,0.012771,0.824619,0.941158
lat-15.0_lon26.0_20240502_T35LLD_t192,35.436381,0.907993,1.215266,0.864932,0.016911,0.774856,0.931898
lat-21.0_lon14.5_20250124_T33KVS_t060,27.113448,0.795511,3.574882,1.886156,0.044089,0.709161,0.813390
lat-21.0_lon14.5_20250124_T33KVS_t103,34.001053,0.936769,1.975365,0.794138,0.019950,0.908706,0.985891
lat-21.0_lon14.5_20250124_T33KVS_t110,32.383493,0.798146,2.584604,1.609381,0.024034,0.584461,0.813090
lat-21.0_lon14.5_20250124_T33KVS_t121,30.155292,0.757095,2.889639,1.639227,0.031062,0.586245,0.871794
lat-21.0_lon14.5_20250124_T33KVS_t137,28.036331,0.824374,3.100908,1.495273,0.039645,0.758068,0.904998
lat-22.5_lon-68.5_20251030_T19KER_t066,33.354295,0.935747,1.944581,1.137083,0.021492,0.825207,0.961188
lat-22.5_lon-68.5_20251030_T19KER_t077,31.022455,0.813013,1.924850,1.005338,0.028111,0.713635,0.931623
lat-22.5_lon-68.5_20251030_T19KER_t090,28.862296,0.877483,1.826279,1.583407,0.036048,0.719925,0.822040
lat-22.5_lon-68.5_20251030_T19KER_t163,28.962670,0.879768,2.707268,1.098850,0.035634,0.813353,0.972507
lat-23.0_lon119.5_20240128_T50KQV_t086,35.519448,0.918503,1.075849,0.615164,0.016750,0.800876,0.918743
lat-23.0_lon23.5_20240902_T34KGV_t060,40.094601,0.957571,0.523712,0.306057,0.009892,0.886774,0.971056
lat-23.0_lon23.5_20240902_T34KGV_t178,39.428997,0.958077,0.480585,0.329080,0.010679,0.907366,0.978087
lat-23.0_lon23.5_20240902_T34KGV_t259,40.379764,0.961400,0.566462,0.327531,0.009572,0.901732,0.986557
lat-23.0_lon23.5_20240902_T34KGV_t262,39.273433,0.959897,0.826221,0.406263,0.010872,0.915604,0.971398
lat-23.5_lon-68.2_20251231_T19KEP_t043,26.381587,0.714305,1.736130,1.387224,0.047965,0.628882,0.912011
lat-24.0_lon-69.5_20251124_T19KDP_t023,36.005705,0.928479,0.780120,0.461136,0.015839,0.847386,0.957894
lat-24.0_lon-69.5_20251124_T19KDP_t029,39.416521,0.957329,0.568476,0.398782,0.010695,0.869956,0.984352
lat-24.0_lon-69.5_20251124_T19KDP_t040,29.834362,0.776168,1.632701,0.863139,0.032232,0.651262,0.850430
lat-24.0_lon-69.5_20251124_T19KDP_t123,24.183605,0.684250,3.924275,2.048056,0.061776,0.538082,0.760071
lat-24.0_lon-69.5_20251124_T19KDP_t231,31.779753,0.857076,1.924404,0.948017,0.025764,0.745904,0.919071
lat-24.0_lon-69.5_20251124_T19KDP_t247,31.264076,0.853163,1.588094,0.949726,0.027340,0.758255,0.918591
lat-24.5_lon-70.5_20240902_T19JCN_t088,35.092595,0.925832,1.102805,0.715885,0.017594,0.876356,0.964969
lat-25.0_lon149.0_20240925_T55JFN_t019,35.790526,0.950362,1.214419,0.520638,0.016236,0.910338,0.976014
lat-25.0_lon149.0_20240925_T55JFN_t028,39.388210,0.963665,0.852460,0.430463,0.010730,0.903832,0.975454
lat-25.0_lon149.0_20240925_T55JFN_t095,35.875459,0.947086,1.052548,0.678872,0.016078,0.869199,0.949730
lat-25.0_lon29.5_20250924_T35JQN_t185,21.470798,0.606315,8.878037,7.077099,0.084423,0.522439,0.780276
lat-26.0_lon134.0_20231105_T53JLM_t025,36.452016,0.903571,0.985769,0.608406,0.015045,0.731972,0.861260
lat-26.0_lon134.0_20231105_T53JLM_t070,35.617844,0.928162,0.854732,0.696138,0.016562,0.845094,0.933019
lat-27.0_lon27.5_20240703_T35JNL_t059,27.645994,0.781674,3.835930,1.772919,0.041467,0.698515,0.917577
lat-29.5_lon142.0_20250123_T54JWN_t010,34.372045,0.920920,1.066409,0.662488,0.019116,0.855746,0.927998
lat-29.5_lon142.0_20250123_T54JWN_t015,33.683735,0.916259,1.245152,0.700982,0.020693,0.868046,0.951555
lat-29.5_lon142.0_20250123_T54JWN_t052,30.825406,0.801082,1.542276,0.795698,0.028756,0.702914,0.858881
lat-29.5_lon142.0_20250123_T54JWN_t064,34.535582,0.895948,1.119342,0.648084,0.018759,0.825218,0.925508
lat-29.5_lon28.5_20250902_T35JPH_t199,16.951955,0.201374,5.431075,8.797669,0.142037,0.109713,0.237126
lat-29.5_lon28.5_20250902_T35JPH_t223,20.439005,0.303983,8.134363,8.714404,0.095071,0.137231,0.351419
lat-29.5_lon28.5_20250902_T35JPH_t273,21.386510,0.313261,5.709036,7.638210,0.085246,0.120642,0.399668
lat-29.5_lon29.0_20250902_T35JPH_t106,15.105271,0.110586,2.413553,7.327527,0.175686,0.008503,0.031023
lat-29.5_lon29.0_20250902_T35JPH_t284,25.414985,0.692450,4.842529,3.805342,0.053611,0.550311,0.813549
lat-29.5_lon29.5_20240526_T35JQH_t110,17.572506,0.235383,9.043721,11.853707,0.132244,0.133842,0.329331
lat-29.5_lon29.5_20240526_T35JQH_t153,18.623968,0.290598,18.720726,13.153219,0.117166,0.107123,0.232379
