scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,33.807644,0.909653,1.459778,1.024310,0.020399,0.850204,0.956984
lat-13.5_lon131.0_20230902_T52LGL_t068,35.218776,0.947609,1.007411,0.627801,0.017340,0.917626,0.966252
lat-13.5_lon131.0_20230902_T52LGL_t106,33.000474,0.917184,1.095078,0.901888,0.022386,0.870592,0.937481
lat-13.5_lon131.0_20230902_T52LGL_t175,34.905098,0.931895,1.054775,0.674621,0.017978,0.893847,0.961737
lat-13.5_lon131.0_20230902_T52LGL_t188,33.760782,0.929000,0.954677,0.748408,0.020510,0.892731,0.938238
lat-13.5_lon131.0_20230902_T52LGL_t202,31.965586,0.865431,0.919704,0.999302,0.025219,0.791759,0.891997
lat-15.0_lon26.0_20240502_T35LLD_t046,37.323626,0.936440,0.778444,0.596505,0.013609,0.843954,0.937602
lat-15.0_lon26.0_20240502_T35LLD_t094,39.482652,0.950779,0.748922,0.503837,0.010614,0.856705,0.960163
lat-15.0_lon26.0_20240502_T35LLD_t128,34.141493,0.861085,1.019840,0.847380,0.019630,0.727607,0.870185
lat-15.0_lon26.0_20240502_T35LLD_t154,34.364374,0.859182,0.835051,0.753466,0.019133,0.689063,0.871912
lat-15.0_lon26.0_20240502_T35LLD_t166,34.143049,0.863097,0.816484,0.771667,0.019627,0.751747,0.878638
lat-15.0_lon26.0_20240502_T35LLD_t177,38.376831,0.939576,0.782147,0.592802,0.012055,0.837633,0.949106
lat-15.0_lon26.0_20240502_T35LLD_t192,33.195534,0.840615,1.081128,0.914947,0.021889,0.682510,0.896444
lat-21.0_lon14.5_20250124_T33KVS_t060,29.456831,0.839164,1.060131,1.445805,0.033663,0.760585,0.877859
lat-21.0_lon14.5_20250124_T33KVS_t103,33.883431,0.931910,0.898560,0.785725,0.020222,0.897041,0.984474
lat-21.0_lon14.5_20250124_T33KVS_t110,35.889594,0.892602,0.610315,0.928259,0.016052,0.788046,0.909998
lat-21.0_lon14.5_20250124_T33KVS_t121,32.915392,0.818321,0.734394,1.051787,0.022606,0.645927,0.926304
lat-21.0_lon14.5_20250124_T33KVS_t137,29.286179,0.790800,0.632523,1.221359,0.034331,0.718189,0.925614
lat-22.5_lon-68.5_20251030_T19KER_t066,34.619392,0.943883,0.792713,0.793413,0.018579,0.837918,0.964934
lat-22.5_lon-68.5_20251030_T19KER_t077,33.475811,0.887832,0.886761,0.735486,0.021194,0.814611,0.962236
lat-22.5_lon-68.5_20251030_T19KER_t090,26.884455,0.666626,0.896253,1.930572,0.045267,0.368589,0.735090
lat-22.5_lon-68.5_20251030_T19KER_t163,32.828314,0.894887,1.188742,0.710369,0.022834,0.817765,0.983673
lat-23.0_lon119.5_20240128_T50KQV_t086,38.098744,0.949954,0.555457,0.423367,0.012447,0.855277,0.953827
lat-23.0_lon23.5_20240902_T34KGV_t060,41.321428,0.966657,0.317540,0.255647,0.008589,0.904730,0.977677
lat-23.0_lon23.5_20240902_T34KGV_t178,39.066417,0.953538,0.398750,0.338693,0.011135,0.898235,0.977385
lat-23.0_lon23.5_20240902_T34KGV_t259,41.314860,0.970541,0.432114,0.280952,0.008595,0.919908,0.990156
lat-23.0_lon23.5_20240902_T34KGV_t262,40.057159,0.969670,0.416014,0.342678,0.009934,0.936452,0.974949
lat-23.5_lon-68.2_20251231_T19KEP_t043,25.960753,0.684785,0.826890,1.389340,0.050346,0.600073,0.924801
lat-24.0_lon-69.5_20251124_T19KDP_t023,36.122337,0.923528,0.488508,0.439587,0.015627,0.840023,0.963186
lat-24.0_lon-69.5_20251124_T19KDP_t029,38.764880,0.947358,0.335638,0.418190,0.011528,0.832864,0.983243
lat-24.0_lon-69.5_20251124_T19KDP_t040,30.353384,0.710148,0.593461,0.792646,0.030362,0.518593,0.836010
lat-24.0_lon-69.5_20251124_T19KDP_t123,29.422510,0.710266,0.462742,1.099136,0.033797,0.499591,0.839113
