scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,34.898583,0.929388,1.440571,0.968978,0.017992,0.876852,0.960712
lat-13.5_lon131.0_20230902_T52LGL_t068,36.318844,0.957342,0.943504,0.561671,0.015278,0.932518,0.973567
lat-13.5_lon131.0_20230902_T52LGL_t106,31.204225,0.918404,1.242026,1.068532,0.027529,0.876809,0.919041
lat-13.5_lon131.0_20230902_T52LGL_t175,34.859770,0.933274,0.991984,0.685689,0.018072,0.892134,0.960188
lat-13.5_lon131.0_20230902_T52LGL_t188,32.252322,0.919357,0.911443,0.884740,0.024400,0.877966,0.914587
lat-13.5_lon131.0_20230902_T52LGL_t202,29.864163,0.866424,1.268916,1.203581,0.032121,0.804909,0.859274
lat-15.0_lon26.0_20240502_T35LLD_t046,38.286376,0.950770,0.695674,0.502016,0.012181,0.877105,0.948413
lat-15.0_lon26.0_20240502_T35LLD_t094,39.776845,0.957358,0.610633,0.441835,0.010260,0.884891,0.963090
lat-15.0_lon26.0_20240502_T35LLD_t128,35.388394,0.915969,0.862278,0.723922,0.017005,0.816872,0.908945
lat-15.0_lon26.0_20240502_T35LLD_t154,35.245011,0.910244,0.743453,0.685550,0.017288,0.787654,0.897010
lat-15.0_lon26.0_20240502_T35LLD_t166,35.915721,0.920332,0.742617,0.667692,0.016003,0.837234,0.910353
lat-15.0_lon26.0_20240502_T35LLD_t177,38.398897,0.945643,0.696874,0.538202,0.012024,0.855784,0.949022
lat-15.0_lon26.0_20240502_T35LLD_t192,35.468976,0.918032,0.947483,0.806877,0.016848,0.794595,0.934434
lat-21.0_lon14.5_20250124_T33KVS_t060,28.085840,0.818561,1.417456,1.728580,0.039419,0.727574,0.817860
lat-21.0_lon14.5_20250124_T33KVS_t103,36.774126,0.964332,0.832279,0.611412,0.014498,0.944809,0.990356
lat-21.0_lon14.5_20250124_T33KVS_t110,31.736962,0.813498,2.007107,1.580669,0.025891,0.611006,0.807717
