scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,33.681618,0.904374,1.614269,1.024983,0.020698,0.835494,0.955032
lat-13.5_lon131.0_20230902_T52LGL_t068,34.213354,0.934361,1.061358,0.690505,0.019468,0.898457,0.957147
lat-13.5_lon131.0_20230902_T52LGL_t106,31.258604,0.898896,1.140109,1.050357,0.027357,0.846379,0.911187
lat-13.5_lon131.0_20230902_T52LGL_t175,34.364550,0.923907,1.050881,0.712902,0.019133,0.877846,0.955090
lat-13.5_lon131.0_20230902_T52LGL_t188,33.116235,0.914707,0.977953,0.802458,0.022090,0.869472,0.928143
lat-13.5_lon131.0_20230902_T52LGL_t202,30.582510,0.817033,0.998112,1.142099,0.029572,0.727972,0.855554
lat-15.0_lon26.0_20240502_T35LLD_t046,37.466245,0.939173,0.807905,0.577885,0.013387,0.848122,0.939167
lat-15.0_lon26.0_20240502_T35LLD_t094,38.902406,0.941485,0.743946,0.529039,0.011347,0.824439,0.951484
lat-15.0_lon26.0_20240502_T35LLD_t128,33.689629,0.849536,1.042342,0.911026,0.020678,0.702164,0.858184
lat-15.0_lon26.0_20240502_T35LLD_t154,35.015239,0.881133,0.855345,0.753967,0.017752,0.716489,0.885802
lat-15.0_lon26.0_20240502_T35LLD_t166,35.577296,0.893978,0.843790,0.705955,0.016639,0.786094,0.897175
lat-15.0_lon26.0_20240502_T35LLD_t177,37.851928,0.932939,0.816930,0.624548,0.012806,0.816058,0.941705
lat-15.0_lon26.0_20240502_T35LLD_t192,31.083404,0.801869,1.186306,1.079242,0.027914,0.627944,0.849379
lat-21.0_lon14.5_20250124_T33KVS_t060,30.110652,0.851836,1.155600,1.330708,0.031222,0.766293,0.895828
lat-21.0_lon14.5_20250124_T33KVS_t103,32.135352,0.902016,1.012526,0.987623,0.024730,0.851135,0.974145
lat-21.0_lon14.5_20250124_T33KVS_t110,35.573496,0.882575,0.675340,0.960415,0.016647,0.759838,0.897346
lat-21.0_lon14.5_20250124_T33KVS_t121,32.720888,0.811446,0.746548,1.076117,0.023118,0.626920,0.922106
lat-21.0_lon14.5_20250124_T33KVS_t137,30.259374,0.826611,0.653746,1.093526,0.030692,0.754810,0.935829
lat-22.5_lon-68.5_20251030_T19KER_t066,34.438096,0.927735,0.808224,0.796807,0.018971,0.780534,0.963787
lat-22.5_lon-68.5_20251030_T19KER_t077,33.656248,0.888986,0.821486,0.723075,0.020758,0.807833,0.962376
lat-22.5_lon-68.5_20251030_T19KER_t090,25.826158,0.775061,0.959315,2.183916,0.051132,0.538835,0.680891
lat-22.5_lon-68.5_20251030_T19KER_t163,32.743176,0.897311,1.036568,0.705270,0.023059,0.816371,0.983861
lat-23.0_lon119.5_20240128_T50KQV_t086,36.743793,0.925236,0.538671,0.488927,0.014548,0.784801,0.938566
lat-23.0_lon23.5_20240902_T34KGV_t060,40.006896,0.954241,0.349095,0.294672,0.009992,0.869391,0.968683
lat-23.0_lon23.5_20240902_T34KGV_t178,38.026860,0.940160,0.388232,0.373557,0.012550,0.869682,0.971536
lat-23.0_lon23.5_20240902_T34KGV_t259,38.273664,0.935603,0.472391,0.382729,0.012199,0.843087,0.981501
lat-23.0_lon23.5_20240902_T34KGV_t262,38.738397,0.956506,0.531271,0.404730,0.011563,0.901693,0.966102
lat-23.5_lon-68.2_20251231_T19KEP_t043,25.294041,0.670611,0.877352,1.491403,0.054362,0.580217,0.913866
lat-24.0_lon-69.5_20251124_T19KDP_t023,37.214062,0.936554,0.445339,0.391424,0.013782,0.848841,0.968854
lat-24.0_lon-69.5_20251124_T19KDP_t029,35.033863,0.914963,0.342281,0.640017,0.017714,0.781378,0.959284
