scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,34.816289,0.929829,1.482430,0.925656,0.018163,0.877405,0.961778
lat-13.5_lon131.0_20230902_T52LGL_t068,35.697293,0.957030,0.932191,0.584374,0.016411,0.931422,0.971327
lat-13.5_lon131.0_20230902_T52LGL_t106,31.697438,0.921691,1.062696,1.003587,0.026009,0.876201,0.914070
lat-13.5_lon131.0_20230902_T52LGL_t175,34.853368,0.935028,1.002948,0.673709,0.018086,0.893596,0.960830
lat-13.5_lon131.0_20230902_T52LGL_t188,32.577426,0.920278,0.921742,0.841081,0.023503,0.878110,0.920553
lat-13.5_lon131.0_20230902_T52LGL_t202,31.798940,0.883544,0.927259,0.988960,0.025707,0.813298,0.891840
lat-15.0_lon26.0_20240502_T35LLD_t046,37.422933,0.945292,0.731370,0.560472,0.013454,0.862109,0.936844
lat-15.0_lon26.0_20240502_T35LLD_t094,40.057627,0.960491,0.642208,0.464093,0.009934,0.881885,0.962627
lat-15.0_lon26.0_20240502_T35LLD_t128,35.822548,0.919359,0.926704,0.740596,0.016176,0.803076,0.908008
lat-15.0_lon26.0_20240502_T35LLD_t154,36.263840,0.921895,0.725239,0.633584,0.015375,0.792072,0.905896
lat-15.0_lon26.0_20240502_T35LLD_t166,36.512816,0.926172,0.749526,0.630605,0.014940,0.835436,0.912090
lat-15.0_lon26.0_20240502_T35LLD_t177,38.369342,0.943273,0.740094,0.575097,0.012065,0.840164,0.944527
lat-15.0_lon26.0_20240502_T35LLD_t192,35.152076,0.913606,0.951815,0.826753,0.017474,0.781321,0.926852
lat-21.0_lon14.5_20250124_T33KVS_t060,28.615231,0.837849,1.032366,1.578266,0.037088,0.740274,0.860088
lat-21.0_lon14.5_20250124_T33KVS_t103,37.381324,0.971743,0.805127,0.545360,0.013519,0.954900,0.992048
lat-21.0_lon14.5_20250124_T33KVS_t110,35.423025,0.906019,0.675677,0.977554,0.016937,0.767525,0.887020
lat-21.0_lon14.5_20250124_T33KVS_t121,31.911399,0.814382,0.809053,1.178682,0.025376,0.592243,0.907446
lat-21.0_lon14.5_20250124_T33KVS_t137,29.396531,0.908153,0.699591,1.213093,0.033898,0.842701,0.920563
lat-22.5_lon-68.5_20251030_T19KER_t066,36.779240,0.964652,0.781303,0.622233,0.014489,0.890372,0.979058
lat-22.5_lon-68.5_20251030_T19KER_t077,34.144609,0.915834,0.744059,0.683052,0.019623,0.846781,0.966254
lat-22.5_lon-68.5_20251030_T19KER_t090,33.634218,0.933655,0.708653,0.900406,0.020811,0.844374,0.921009
lat-22.5_lon-68.5_20251030_T19KER_t163,34.870922,0.943581,0.799986,0.553448,0.018049,0.897387,0.989905
lat-23.0_lon119.5_20240128_T50KQV_t086,37.633052,0.953836,0.506963,0.442565,0.013133,0.877411,0.947144
lat-23.0_lon23.5_20240902_T34KGV_t060,41.116066,0.967064,0.325881,0.258663,0.008794,0.908076,0.975731
lat-23.0_lon23.5_20240902_T34KGV_t178,39.898968,0.963040,0.339912,0.303010,0.010117,0.916038,0.980998
lat-23.0_lon23.5_20240902_T34KGV_t259,41.440844,0.971936,0.365081,0.278567,0.008471,0.927258,0.989886
lat-23.0_lon23.5_20240902_T34KGV_t262,40.507866,0.976729,0.398438,0.331952,0.009432,0.946829,0.981667
lat-23.5_lon-68.2_20251231_T19KEP_t043,27.212701,0.774488,0.655424,1.202833,0.043588,0.674053,0.931111
lat-24.0_lon-69.5_20251124_T19KDP_t023,37.119258,0.951518,0.384451,0.398786,0.013933,0.895081,0.965148
lat-24.0_lon-69.5_20251124_T19KDP_t029,39.812616,0.963457,0.332246,0.375224,0.010218,0.886527,0.985839
lat-24.0_lon-69.5_20251124_T19KDP_t040,34.016791,0.901158,0.460980,0.518502,0.019914,0.790401,0.913165
lat-24.0_lon-69.5_20251124_T19KDP_t123,31.193461,0.836682,0.455415,0.894780,0.027563,0.658473,0.863008
lat-24.0_lon-69.5_20251124_T19KDP_t231,34.557989,0.937514,0.529774,0.691047,0.018711,0.878058,0.956596
lat-24.0_lon-69.5_20251124_T19KDP_t247,33.394339,0.916378,0.672659,0.713231,0.021394,0.841379,0.944710
lat-24.5_lon-70.5_20240902_T19JCN_t088,36.140136,0.953745,0.575576,0.602981,0.015595,0.917697,0.972598
lat-25.0_lon149.0_20240925_T55JFN_t019,37.517388,0.969233,0.704776,0.449369,0.013309,0.936948,0.981882
lat-25.0_lon149.0_20240925_T55JFN_t028,40.060660,0.976271,0.608588,0.406095,0.009930,0.928700,0.981448
lat-25.0_lon149.0_20240925_T55JFN_t095,35.557634,0.957202,0.814043,0.669854,0.016677,0.896204,0.952115
lat-25.0_lon29.5_20250924_T35JQN_t185,29.795502,0.882079,1.486386,1.398990,0.032376,0.751549,0.901950
lat-26.0_lon134.0_20231105_T53JLM_t025,37.092078,0.953337,0.269384,0.418019,0.013976,0.824465,0.851638
lat-26.0_lon134.0_20231105_T53JLM_t070,36.472826,0.942986,0.407359,0.535512,0.015009,0.876920,0.950340
lat-27.0_lon27.5_20240703_T35JNL_t059,30.964895,0.894881,0.859317,1.147755,0.028298,0.828370,0.959846
lat-29.5_lon142.0_20250123_T54JWN_t010,34.708995,0.938784,0.448890,0.573993,0.018389,0.881309,0.934820
lat-29.5_lon142.0_20250123_T54JWN_t015,34.538586,0.938369,0.481010,0.577216,0.018753,0.907052,0.961121
lat-29.5_lon142.0_20250123_T54JWN_t052,35.876872,0.933892,0.384243,0.466205,0.016075,0.868605,0.929126
lat-29.5_lon142.0_20250123_T54JWN_t064,39.831364,0.972021,0.364982,0.319286,0.010196,0.945760,0.976573
lat-29.5_lon28.5_20250902_T35JPH_t199,30.077597,0.828512,1.033885,1.825149,0.031342,0.699475,0.790738
lat-29.5_lon28.5_20250902_T35JPH_t223,28.901424,0.774238,2.093508,3.160190,0.035886,0.600948,0.818184
lat-29.5_lon28.5_20250902_T35JPH_t273,31.786702,0.879800,1.628417,2.218035,0.025743,0.769840,0.899803
lat-29.5_lon29.0_20250902_T35JPH_t106,26.748199,0.808022,1.136186,1.854083,0.045982,0.754798,0.884714
lat-29.5_lon29.0_20250902_T35JPH_t284,30.157631,0.871483,1.524703,2.106024,0.031054,0.779423,0.933955
lat-29.5_lon29.5_20240526_T35JQH_t110,29.936914,0.836247,1.935143,2.707336,0.031853,0.690623,0.879228
lat-29.5_lon29.5_20240526_T35JQH_t153,32.900682,0.883019,2.480225,2.204180,0.022645,0.708725,0.918730
lat-29.5_lon29.5_20240526_T35JQH_t154,32.496113,0.864065,1.746846,2.316837,0.023724,0.695591,0.845864
lat-30.0_lon115.5_20260102_T50JLM_t062,35.158091,0.958950,0.871688,0.759456,0.017462,0.936150,0.976865
lat-30.0_lon115.5_20260102_T50JLM_t097,34.357664,0.962593,0.960775,0.938214,0.019148,0.944276,0.983457
lat-30.0_lon115.5_20260102_T50JLM_t118,31.315868,0.928992,1.023281,1.244065,0.027177,0.872896,0.968672
lat-30.0_lon115.5_20260102_T50JLM_t137,33.188332,0.937961,1.204890,1.041506,0.021907,0.907233,0.978822
lat-30.0_lon115.5_20260102_T50JLM_t202,35.939154,0.959206,0.932795,0.808617,0.015960,0.921044,0.980660
lat-30.0_lon115.5_20260102_T50JLM_t207,37.380466,0.959108,0.691680,0.695095,0.013520,0.880797,0.980052
lat-31.5_lon117.5_20260303_T50JNL_t043,35.559025,0.937614,0.690235,0.605517,0.016674,0.880935,0.945528
lat-31.5_lon117.5_20260303_T50JNL_t123,37.885085,0.964158,0.715922,0.559129,0.012757,0.927263,0.974218
lat-31.5_lon117.5_20260303_T50JNL_t165,36.721384,0.957385,0.627411,0.554112,0.014586,0.919360,0.977293
lat-32.0_lon-59.5_20240325_T21HTE_t128,29.756671,0.911665,1.610822,3.159091,0.032521,0.826655,0.874682
lat-32.0_lon-59.5_20240325_T21HTE_t145,34.789583,0.956796,1.253877,1.201876,0.018219,0.906947,0.972090
lat-32.0_lon-59.5_20240325_T21HTE_t160,36.801051,0.968245,1.241749,0.991806,0.014453,0.936376,0.984512
lat-32.0_lon-59.5_20240325_T21HTE_t194,28.237339,0.885549,1.907851,2.416594,0.038738,0.833440,0.885418
lat-32.0_lon-59.5_20240325_T21HTE_t231,29.524295,0.910171,1.875694,2.153373,0.033403,0.854214,0.926515
lat-32.0_lon-59.5_20240325_T21HTE_t256,33.438931,0.949200,1.452545,1.687249,0.021284,0.911477,0.961715
lat-33.5_lon19.5_20250123_T34HCJ_t027,30.337606,0.922212,0.685768,1.058715,0.030417,0.875743,0.919828
lat-33.5_lon19.5_20250123_T34HCJ_t115,34.928806,0.951085,0.538598,0.714329,0.017929,0.919447,0.983552
lat-33.5_lon19.5_20250123_T34HCJ_t148,29.383529,0.881086,0.905480,1.333259,0.033949,0.791497,0.944777
lat-33.5_lon19.5_20250123_T34HCJ_t199,34.325006,0.943696,0.567194,0.610279,0.019220,0.915146,0.962167
lat-33.5_lon19.5_20250123_T34HCJ_t201,35.426130,0.956170,0.724827,0.748546,0.016931,0.921337,0.983909
lat-33.5_lon19.5_20250123_T34HCJ_t210,32.046939,0.899715,1.775432,1.377613,0.024983,0.831367,0.951539
lat-33.5_lon19.5_20250123_T34HCJ_t214,26.647087,0.776070,0.885026,1.924102,0.046521,0.652490,0.829928
lat-37.0_lon149.0_20250104_T55HFU_t127,29.035104,0.888936,1.506197,2.453332,0.035338,0.803316,0.930742
lat-40.0_lon-72.0_20260305_T18GYA_t173,30.094160,0.811282,5.543608,5.673450,0.031282,0.618959,0.849517
lat-40.0_lon-72.0_20260305_T18GYA_t222,32.849948,0.884267,0.935819,2.558059,0.022777,0.683282,0.900628
lat-40.0_lon-72.0_20260305_T18GYA_t239,34.058048,0.900985,1.223872,2.474107,0.019820,0.570077,0.870555
lat-40.0_lon-72.0_20260305_T18GYA_t297,32.737137,0.851400,2.618939,4.231116,0.023075,0.587702,0.841942
