scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,34.846333,0.927220,1.467996,0.926856,0.018100,0.871763,0.963294
lat-13.5_lon131.0_20230902_T52LGL_t068,35.483010,0.954970,1.064302,0.586818,0.016821,0.931088,0.971473
lat-13.5_lon131.0_20230902_T52LGL_t106,33.978721,0.939283,1.046172,0.789188,0.020002,0.903174,0.948183
lat-13.5_lon131.0_20230902_T52LGL_t175,34.861084,0.932396,1.096732,0.672044,0.018069,0.891882,0.961109
lat-13.5_lon131.0_20230902_T52LGL_t188,33.490588,0.927147,0.988108,0.763423,0.021158,0.890213,0.937022
lat-13.5_lon131.0_20230902_T52LGL_t202,32.773751,0.897616,1.014333,0.880591,0.022978,0.842633,0.915791
lat-15.0_lon26.0_20240502_T35LLD_t046,38.330925,0.951665,0.741580,0.527041,0.012119,0.872418,0.947765
lat-15.0_lon26.0_20240502_T35LLD_t094,39.948201,0.958617,0.609943,0.448229,0.010060,0.880861,0.966550
lat-15.0_lon26.0_20240502_T35LLD_t128,36.452965,0.926371,0.923065,0.711412,0.015044,0.827541,0.933938
lat-15.0_lon26.0_20240502_T35LLD_t154,37.045601,0.928796,0.742833,0.637065,0.014051,0.809697,0.927962
lat-15.0_lon26.0_20240502_T35LLD_t166,37.450133,0.930887,0.752058,0.623103,0.013412,0.845772,0.930383
lat-15.0_lon26.0_20240502_T35LLD_t177,38.609935,0.945967,0.757664,0.575087,0.011736,0.848679,0.951302
lat-15.0_lon26.0_20240502_T35LLD_t192,35.892943,0.928148,0.924857,0.800477,0.016045,0.807122,0.940522
lat-21.0_lon14.5_20250124_T33KVS_t060,29.214259,0.848253,1.044414,1.474327,0.034617,0.759732,0.878391
lat-21.0_lon14.5_20250124_T33KVS_t103,36.042526,0.964152,0.801788,0.623759,0.015772,0.942959,0.990179
lat-21.0_lon14.5_20250124_T33KVS_t110,36.104767,0.882595,0.763584,0.906155,0.015659,0.694153,0.904650
lat-21.0_lon14.5_20250124_T33KVS_t121,33.580406,0.844445,0.718018,0.978513,0.020940,0.664487,0.936696
lat-21.0_lon14.5_20250124_T33KVS_t137,34.247224,0.941766,0.565401,0.693293,0.019393,0.903564,0.978516
lat-22.5_lon-68.5_20251030_T19KER_t066,36.310941,0.961700,0.665674,0.643355,0.015292,0.885143,0.977903
lat-22.5_lon-68.5_20251030_T19KER_t077,34.942394,0.917788,0.677776,0.617124,0.017901,0.851480,0.972797
lat-22.5_lon-68.5_20251030_T19KER_t090,33.008176,0.921430,0.710287,0.969786,0.022366,0.814378,0.907797
lat-22.5_lon-68.5_20251030_T19KER_t163,34.539851,0.937684,0.514982,0.574246,0.018750,0.886652,0.988760
lat-23.0_lon119.5_20240128_T50KQV_t086,37.353880,0.945926,0.558213,0.457828,0.013561,0.864852,0.946964
lat-23.0_lon23.5_20240902_T34KGV_t060,41.522201,0.971021,0.300367,0.246641,0.008392,0.915760,0.978591
lat-23.0_lon23.5_20240902_T34KGV_t178,39.451641,0.962009,0.385284,0.312468,0.010652,0.913878,0.980380
lat-23.0_lon23.5_20240902_T34KGV_t259,40.829336,0.968133,0.337180,0.285596,0.009089,0.917555,0.989617
lat-23.0_lon23.5_20240902_T34KGV_t262,39.975365,0.971375,0.458895,0.358055,0.010028,0.931624,0.975627
lat-23.5_lon-68.2_20251231_T19KEP_t043,28.421686,0.764489,0.728093,1.035264,0.037924,0.670639,0.952299
lat-24.0_lon-69.5_20251124_T19KDP_t023,37.547141,0.949870,0.364961,0.375830,0.013263,0.889061,0.971254
lat-24.0_lon-69.5_20251124_T19KDP_t029,39.568410,0.961181,0.285415,0.384669,0.010509,0.877928,0.985165
lat-24.0_lon-69.5_20251124_T19KDP_t040,35.798172,0.917932,0.421764,0.429131,0.016222,0.845945,0.941701
lat-24.0_lon-69.5_20251124_T19KDP_t123,35.001790,0.908713,0.486088,0.578952,0.017779,0.797618,0.946321
lat-24.0_lon-69.5_20251124_T19KDP_t231,36.400592,0.948907,0.482425,0.559685,0.015135,0.904331,0.971303
lat-24.0_lon-69.5_20251124_T19KDP_t247,35.339350,0.927294,0.626817,0.577108,0.017101,0.859640,0.963732
