scene,aoi_slug,pair_id,tile_idx,r2_mean,land_cover,land_cover_group,emit_b32_path,s2_path
lat43.5_lon104.0_20230822_T48TVP_t072,aoi_lat43.5_lon104.0,20230822T035407_T48TVP_20230820,72,0.9462685473263264,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat43.5_lon104.0/20230822T035407_T48TVP_20230820/tiles/20230822T035407_T48TVP_20230820_tile072_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat43.5_lon104.0/20230822T035407_T48TVP_20230820/tiles/20230822T035407_T48TVP_20230820_tile072_s2.tif
lat32.0_lon-113.0_20251129_T12SUA_t163,aoi_lat32.0_lon-113.0,20251129T183941_T12SUA_20251202,163,0.9656222686171532,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile163_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile163_s2.tif
lat-24.0_lon-69.5_20251124_T19KDP_t023,aoi_lat-24.0_lon-69.5,20251124T142919_T19KDP_20251123,23,0.9526608493179084,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.0_lon-69.5/20251124T142919_T19KDP_20251123/tiles/20251124T142919_T19KDP_20251123_tile023_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.0_lon-69.5/20251124T142919_T19KDP_20251123/tiles/20251124T142919_T19KDP_20251123_tile023_s2.tif
lat27.0_lon13.5_20241001_T33RUL_t077,aoi_lat27.0_lon13.5,20241001T095533_T33RUL_20240930,77,0.8813250996172428,desert/oasis,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat27.0_lon13.5/20241001T095533_T33RUL_20240930/tiles/20241001T095533_T33RUL_20240930_tile077_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat27.0_lon13.5/20241001T095533_T33RUL_20240930/tiles/20241001T095533_T33RUL_20240930_tile077_s2.tif
lat-21.0_lon14.5_20250124_T33KVS_t137,aoi_lat-21.0_lon14.5,20250124T093346_T33KVS_20250123,137,0.8851261641830206,desert/mountain,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-21.0_lon14.5/20250124T093346_T33KVS_20250123/tiles/20250124T093346_T33KVS_20250123_tile137_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-21.0_lon14.5/20250124T093346_T33KVS_20250123/tiles/20250124T093346_T33KVS_20250123_tile137_s2.tif
lat33.0_lon54.0_20240622_T39SYS_t115,aoi_lat33.0_lon54.0,20240622T073759_T39SYS_20240622,115,0.99262423068285,desert/salt_flat,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat33.0_lon54.0/20240622T073759_T39SYS_20240622/tiles/20240622T073759_T39SYS_20240622_tile115_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat33.0_lon54.0/20240622T073759_T39SYS_20240622/tiles/20240622T073759_T39SYS_20240622_tile115_s2.tif
lat18.0_lon33.0_20231202_T36QWF_t106,aoi_lat18.0_lon33.0,20231202T082637_T36QWF_20231203,106,0.9605277609080076,desert/volcanic,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat18.0_lon33.0/20231202T082637_T36QWF_20231203/tiles/20231202T082637_T36QWF_20231203_tile106_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat18.0_lon33.0/20231202T082637_T36QWF_20231203/tiles/20231202T082637_T36QWF_20231203_tile106_s2.tif
lat32.0_lon58.5_20231204_T40SFA_t191,aoi_lat32.0_lon58.5,20231204T065632_T40SFA_20231204,191,0.9701210260391236,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon58.5/20231204T065632_T40SFA_20231204/tiles/20231204T065632_T40SFA_20231204_tile191_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon58.5/20231204T065632_T40SFA_20231204/tiles/20231204T065632_T40SFA_20231204_tile191_s2.tif
lat26.5_lon71.0_20250131_T42RYQ_t135,aoi_lat26.5_lon71.0,20250131T054659_T42RYQ_20250129,135,0.8393707741051912,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile135_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile135_s2.tif
lat32.0_lon-113.0_20251129_T12SUA_t140,aoi_lat32.0_lon-113.0,20251129T183941_T12SUA_20251202,140,0.8683979883790016,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile140_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile140_s2.tif
